,address,rent,beds,baths,borough,hood,elevator,doorman,laundry,furnished,sqft,page
353,Attorney St,6959,4,2,Manhattan,Lower East Side,False,False,True,False,,2828
354,Barclay Street,3323,2,1,Manhattan,Tribeca,True,True,False,False,,2828
355,Pine Street,4850,3,2,Manhattan,Financial District,True,True,True,False,,2828
367,Exchange Place & William Stree...,3798,3,1,Manhattan,Financial District,True,True,False,False,,2827
368,Great space on West Street! Cl...,5200,2,2,Manhattan,Battery Park City,True,True,False,False,1100,2827
369,LOFTY 1 BED IN DESIGNER TOWER...,3750,1,1,Manhattan,Civic Center,True,True,True,False,700,2826
370,East 27th Street,4795,2,2,Manhattan,Rose Hill,True,True,False,False,,2826
371,Wall Street,2700,Studio,1,Manhattan,Financial District,True,True,False,False,,2826
372,Horatio St,6795,2,2,Manhattan,West Village,True,False,True,True,,2826
373,Horatio St,4325,Studio,1,Manhattan,West Village,True,True,False,False,516,2826
374,NO FEE ASTORIA ONE BEDROOM!!!,1700,1,1,Queens,Astoria,False,False,False,False,,2826
375,Bond Street,2475,Studio,1,Brooklyn,Downtown Brooklyn,True,True,True,False,,2826
376,East 33rd Street,4295,2,1,Manhattan,Rose Hill,True,True,False,False,,2825
377,East 87th St,2295,1,1,Manhattan,Yorkville,False,False,False,False,,2825
378,Senator St,1450,1,1,Brooklyn,Bay Ridge,False,False,False,False,,2825
379,West 24th St,3000,Studio,1,Manhattan,Chelsea,False,False,True,False,405,2825
380,Columbus Pl,6600,2,2,Manhattan,Theater District,True,True,False,False,,2825
381,North 5th Street,3277,1,1,Brooklyn,Williamsburg,False,True,False,False,,2825
382,Fort Greene Place,2400,1,1,Brooklyn,Fort Greene,False,False,False,False,,2825
383,East 4th Street,4650,3,1,Manhattan,Alphabet City,False,False,False,False,,2825
384,Pearson Street,2080,Studio,1,Queens,Long Island City,False,True,False,False,,2825
385,Spring Street,4500,3,1,Manhattan,NoLita,False,False,False,False,,2823
386,Greenwich Street,2470,Studio,1,Manhattan,Financial District,True,True,False,False,,2823
387,Gold Street,2850,1,1,Brooklyn,Downtown Brooklyn,True,True,False,False,,2823
388,West 17th St,7315,2,2,Manhattan,Chelsea,True,True,False,False,,2823
389,One Bedroom Washington Heights...,1650,1,1,Manhattan,Fort George,False,False,False,False,490,2823
390,Long Island City,2600,Studio,1,Queens,Long Island City,True,True,True,False,500,2823
391,East 169th Street,1960,2,1,Bronx,Morrisania,False,False,False,False,,2822
392,East 85th Street,2654,1,1,Manhattan,Yorkville,True,True,False,False,,2822
393,Fulton Street,3050,2,1,Brooklyn,Bedford-Stuyvesant,True,False,False,False,,2822
394,Mckibbin Street,3000,1,1,Brooklyn,East Williamsburg,True,False,False,False,,2822
395,73rd Street & 2nd Ave,1900,Studio,1,Manhattan,Upper East Side,False,False,False,False,,2822
396,Crescent Street & 43rd Avenue,2694,2,1,Queens,Long Island City,True,True,True,False,,2822
